word_segment,instances,prominence
,11,11.956521739130435
ཡི་,11,11.956521739130435
མ་,5,5.434782608695652
འགག,5,5.434782608695652
ས་,5,5.434782608695652
ལྟར་,5,5.434782608695652
ཐམས་ཅད་,4,4.3478260869565215
འཁྲུལ་སྣང་,4,4.3478260869565215
བྱེད་,3,3.260869565217391
སྣང་བ་,2,2.1739130434782608
འབྱུང་,1,1.0869565217391304
ཞིང་,1,1.0869565217391304
སེམས,1,1.0869565217391304
གནས་པ་,1,1.0869565217391304
ཐུགས,1,1.0869565217391304
སྐུ,1,1.0869565217391304
འགག་པ་,1,1.0869565217391304
གསུང༌,1,1.0869565217391304
མཐོང་བ་,1,1.0869565217391304
གཟུགས་,1,1.0869565217391304
སྣང༌,1,1.0869565217391304
ཐོས་པ་,1,1.0869565217391304
སྒྲ་,1,1.0869565217391304
གྲག,1,1.0869565217391304
སྣོམ་བྱེད་,1,1.0869565217391304
དྲི་,1,1.0869565217391304
ཚོར,1,1.0869565217391304
མྱོང་,1,1.0869565217391304
རོ་,1,1.0869565217391304
བདའ,1,1.0869565217391304
ཚོར་,1,1.0869565217391304
ཡིད་,1,1.0869565217391304
མགྱོགས,1,1.0869565217391304
གསང་བ,1,1.0869565217391304
འི་,1,1.0869565217391304
ཉོན་མོངས་,1,1.0869565217391304
ཆོ་འཕྲུལ་,1,1.0869565217391304
ཏེ,1,1.0869565217391304
སངས་རྒྱས་,1,1.0869565217391304
སེམས་ཅན་,1,1.0869565217391304
དུར་ས་,1,1.0869565217391304
ཡིན,1,1.0869565217391304
ཀུན་,1,1.0869565217391304
ནི་,1,1.0869565217391304
རང་,1,1.0869565217391304
གསལ་,1,1.0869565217391304
ཆེ,1,1.0869565217391304
